ID;Timestamp;Framecount;SessionID;Email;Frame Time;Model order;Trail ID;Model Name;User X;User Y;User Z;AObject X;AObject Y;AObject Z;Left Hand Thumb;Left Hand Index;Left Hand Long;Left Hand Ring;Left Hand Picky;Right Hand Thumb;Right Hand Index;Right Hand Long;Right Hand Ring;Right Hand Picky;Gesture Shift;Left Hand;Right Hand;Selected Object;Record Animation;Play Animation;Between tasks
-1;2022-12-02 09:40:33.4207;1;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0200;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:33.6027;2;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0200;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.4304;3;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.3333;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.5406;4;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.1173;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.5747;5;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0350;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.5926;6;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0160;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.6062;7;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0139;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.6205;8;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0145;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.6342;9;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0133;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
-1;2022-12-02 09:40:35.6471;10;fb02bedb51144bbdbe92c40a643e3dff;anonymous;0.0141;abc;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.5000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
