ID;Timestamp;Framecount;SessionID;Email;Frame Time;Model order;Trail ID;Model Name;User X;User Y;User Z;AObject X;AObject Y;AObject Z;Left Hand Thumb;Left Hand Index;Left Hand Long;Left Hand Ring;Left Hand Picky;Right Hand Thumb;Right Hand Index;Right Hand Long;Right Hand Ring;Right Hand Picky;Gesture Shift;Left Hand;Right Hand;Selected Object;Record Animation;Play Animation;Between tasks
2;2022-12-02 11:20:54.8866;1;1fa330bbf233ebb78e12d89982981148;anonymous;0.0200;bca;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
2;2022-12-02 11:20:55.1374;2;1fa330bbf233ebb78e12d89982981148;anonymous;0.0200;bca;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
2;2022-12-02 11:20:58.1498;3;1fa330bbf233ebb78e12d89982981148;anonymous;0.3333;bca;0;;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;1
2;2022-12-02 11:20:58.3153;4;1fa330bbf233ebb78e12d89982981148;anonymous;0.1668;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.4066;5;1fa330bbf233ebb78e12d89982981148;anonymous;0.1007;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.4278;6;1fa330bbf233ebb78e12d89982981148;anonymous;0.0212;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.4414;7;1fa330bbf233ebb78e12d89982981148;anonymous;0.0141;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.4615;8;1fa330bbf233ebb78e12d89982981148;anonymous;0.0198;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.4904;9;1fa330bbf233ebb78e12d89982981148;anonymous;0.0268;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.5259;10;1fa330bbf233ebb78e12d89982981148;anonymous;0.0354;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.5600;11;1fa330bbf233ebb78e12d89982981148;anonymous;0.0359;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.5800;12;1fa330bbf233ebb78e12d89982981148;anonymous;0.0185;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
2;2022-12-02 11:20:58.5995;13;1fa330bbf233ebb78e12d89982981148;anonymous;0.0208;bca;0;mannequinbold;0.0000;0.0000;0.0000;0.0000;0.5000;0.1000;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;0;0
